Grant,"Organization Name","Focus Area",Amount,Date
"Sightline Institute — YIMBYtown (2022)","Sightline Institute","Land Use Reform","$50,000","May 2022"
"Stanford University — Research on Science and Innovation (Heidi Williams)","Stanford University","Innovation Policy","$599,190","May 2022"
"AI Safety Support — Research on Trends in Machine Learning","AI Safety Support","Potential Risks from Advanced AI","$42,000","April 2022"
"Metaculus — Platform Development",Metaculus,Forecasting,"$5,500,000","May 2022"
"RAND Corporation — Study Planning","RAND Corporation","Global Health & Development","$25,000","February 2022"
"Positive Money Europe — European Macro Policy","Positive Money Europe","Macroeconomic Stabilization Policy","$136,000","January 2022"
"Center for Global Development — IPA Fellow Placements","Center for Global Development","Global Aid Policy","$1,050,000","December 2021"
"Berkeley Existential Risk Initiative — Sculpting Evolution Collaboration","Berkeley Existential Risk Initiative","Biosecurity & Pandemic Preparedness","$451,571","November 2021"
"Rational Animations — Video Animation Costs (2021)","Rational Animations","Global Catastrophic Risks Capacity Building","$285,000","November 2021"
"Sightline Institute — Housing Reform in Washington and Oregon (2021)","Sightline Institute","Land Use Reform","$600,000","November 2021"
"Giving What We Can — General Support","Giving What We Can","Global Catastrophic Risks Capacity Building","$600,000","November 2021"
"Andrea Gunn & David Coman-Hidy — New Farmed Animal Welfare Support Organization",,"Farm Animal Welfare","$200,000","June 2022"
"University of California, San Francisco Foundation — Reproductive Medicine Research","University of California, San Francisco","Scientific Research","$550,000","November 2021"
"Eon Essay Contest — The Precipice Essay Contest","Eon Essay Contest","Global Catastrophic Risks Capacity Building","$240,000","October 2021"
"University of Connecticut Health Center — Syphilis Vaccine Development","University of Connecticut Health Center","Human Health and Wellbeing","$4,563,250","January 2022"
"University of Washington — Syphilis Vaccine Development (David Baker and Neil King)","University of Washington","Human Health and Wellbeing","$283,539","December 2021"
"Flanders Institute of Biotechnology — Syphilis Vaccine Research","Flanders Institute of Biotechnology","Human Health and Wellbeing","$731,828","June 2022"
"Madhu Sriram — Career Transition and Planning Grant",,"Global Catastrophic Risks Capacity Building","$50,000","May 2022"
"Botswana-Harvard AIDS Institute – Early detection of preterm births","Botswana-Harvard AIDS Institute","Human Health and Wellbeing","$90,000","October 2021"
"FairVote Washington — Ranked Choice Voting Adoption","FairVote Washington","Other Areas","$217,000","December 2021"
"Larissa Schiavo and Rachel Shu — COVID Response Documentary Miniseries",,"Global Catastrophic Risks Capacity Building","$55,000","September 2021"
"Cornell University — National Zoning Atlas","Cornell University","Land Use Reform","$312,400","June 2022"
"Greater Greater Washington — Housing and Land Use Reform (2021)","Greater Greater Washington","Land Use Reform","$450,000","December 2021"
"YIMBY Law — General Support (2022)","YIMBY Law","Land Use Reform","$500,000","June 2022"
"YIMBY Action – Housing Advocacy in Los Angeles","YIMBY Action","Land Use Reform","$300,000","June 2022"
"University Of Science Technical And Technologies De Bamako — Malaria Vaccine Clinical Trial (Alassane Dicko)","University Of Science Technical And Technologies De Bamako","Human Health and Wellbeing","$754,845","August 2021"
"Institut des Sciences et Techniques, Bobo-Dioulasso — Malaria Vaccine Clinical Trial (Jean Bosco Ouedraogo)","Institut des Sciences et Techniques, Bobo-Dioulasso","Human Health and Wellbeing","$631,162","August 2021"
"Institut de Recherche en Sciences de la Santé — Malaria Vaccine Clinical Trial (Halidou Tinto)","Institut de Recherche en Sciences de la Santé","Human Health and Wellbeing","$630,123","August 2022"
"KEMRI-Wellcome Trust Research Programme — Malaria Vaccine Clinical Trial (Philip Bejon)","The KEMRI-Wellcome Trust Research Programme","Human Health and Wellbeing","$472,016","August 2021"
"Kurzgesagt — Short-form Video Content",Kurzgesagt,"Global Catastrophic Risks","$2,978,000","March 2022"
"Open Phil AI Fellowship — 2022 Class","Open Phil AI Fellowship","Potential Risks from Advanced AI","$1,840,000","April 2022"
"AI Funding for Individuals — Work and Study Support",,"Potential Risks from Advanced AI","$113,372","February 2022"
"Open Philanthropy Biosecurity Scholarships (2022)","Scholarship (Various)","Biosecurity & Pandemic Preparedness","$2,426,491","January 2022"
"New Incentives – Conditional Cash Transfers in Nigeria","New Incentives","GiveWell-Recommended Charities","$13,676,963","June 2022"
"Precision Development – Trial Scoping","Precision Development","GiveWell-Recommended Charities","$539,864","April 2022"
"GiveDirectly – General Support (2022)",GiveDirectly,"GiveWell-Recommended Charities","$500,000","January 2022"
"Unlimit Health – General Support (2022)","Unlimit Health","GiveWell-Recommended Charities","$500,000","January 2022"
"The END Fund — General Support (2021)","The END Fund","GiveWell-Recommended Charities","$500,000","December 2021"
"Anima International — Chicken Welfare Campaigns (2022)","Anima International","Broiler Chicken Welfare","$6,000,000","April 2022"
"Bit by Bit Coding — High School Courses on Neural Networks","Bit by Bit Coding","Global Catastrophic Risks","$250,275","October 2021"
"OpenMined — Research on Privacy-Enhancing Technologies and AI Safety",OpenMined,"Potential Risks from Advanced AI","$28,320","April 2022"
"Affordable Maryland — Advocacy for Affordable Housing and Land Use Reform","Affordable Maryland","Land Use Reform","$500,000","June 2022"
"Evidence Action — Accelerator Program","Evidence Action","GiveWell-Recommended Charities","$14,006,277","January 2022"
"Sightsavers — Scoping Work on Deworming Programs",Sightsavers,"GiveWell-Recommended Charities","$118,000","February 2022"
"WAW Statistical Consulting Ltd — R Package for Bayesian Evidence Aggregation","WAW Statistical Consulting Ltd","GiveWell-Recommended Charities","$66,400","April 2022"
"Rethink Priorities — AI Governance Research (2022)","Rethink Priorities","Potential Risks from Advanced AI","$2,728,319","March 2022"
"Longview Philanthropy — Nuclear Security Grantmaking","Longview Philanthropy","Global Catastrophic Risks","$500,000","April 2022"
"Humane Society of the United States — California Prop 12 Legal Defense","Humane Society of the United States","Farm Animal Welfare","$250,000","May 2022"
"VegeProject — Corporate Outreach (2022)",VegeProject,"Farm Animal Welfare","$300,000","May 2022"
"Berkeley Existential Risk Initiative — David Krueger Collaboration","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$140,050","April 2022"
"UC San Diego — Cost-Benefit Analysis for Malaria Suppression",,"Human Health and Wellbeing","$190,000","April 2022"
"The Center for Responsible Seafood — Fish Welfare Research and Promotion","The Center for Responsible Seafood","Farm Animal Welfare","$625,000","April 2022"
"Effective Altruism Funds — Regranting Support","Effective Altruism Funds","Global Catastrophic Risks Capacity Building","$7,783,000","February 2022"
"International Vaccine Institute — Cholera Vaccine Clinical Trial","International Vaccine Institute","Human Health and Wellbeing","$2,500,000","January 2022"
"Life Sciences Research Foundation — Young Investigators (2022)","Life Sciences Research Foundation","Transformative Basic Science","$751,000","March 2022"
"The Ahimsa Collective — “Life Comes From It” Fund Administration (2021)","The Ahimsa Collective","Criminal Justice Reform","$155,000","October 2021"
"The Humane League — General Support (2021)","The Humane League","Farm Animal Welfare","$7,000,000","October 2021"
"Université de Montréal — Research Project on Artificial Intelligence","Université de Montréal","Potential Risks from Advanced AI","$210,552","September 2021"
"University of Michigan — Course Development Support (Anna Edmonds)","University of Michigan","Global Catastrophic Risks Capacity Building","$50,300","February 2022"
"University of Southern California — Course Development Support (Jake Nebel)","University of Southern California","Global Catastrophic Risks","$33,000","October 2021"
"Vegan Women Summit — General Support (2021)","Vegan Women Summit","Farm Animal Welfare","$200,000","March 2021"
"Berkeley Existential Risk Initiative — MineRL BASALT Competition","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$70,000","July 2021"
"Berkeley Existential Risk Initiative — AI Standards (2021)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$300,000","July 2021"
"Berkeley Existential Risk Initiative — Support for Kevin Esvelt’s Research","Berkeley Existential Risk Initiative","Biosecurity & Pandemic Preparedness","$100,000","March 2022"
"Berkeley Existential Risk Initiative — CHAI Collaboration (2022)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$1,126,160","February 2022"
"Ayni Institute — Movement Strategy and Trainings","Ayni Institute","Criminal Justice Reform","$480,000","October 2021"
"Alignment Research Center — General Support","Alignment Research Center","Potential Risks from Advanced AI","$265,000","March 2022"
"Animal Ask — General Support","Animal Ask","Farm Animal Welfare","$130,000","March 2022"
"Center for Long-Term Cybersecurity — AI Standards (2021)","University of California, Berkeley","Potential Risks from Advanced AI","$25,000","July 2021"
"Albert Schweitzer Foundation — General Support (2021)","Albert Schweitzer Foundation","Farm Animal Welfare","$3,000,000","October 2021"
"Abundant Housing LA — General Support","Abundant Housing LA","Land Use Reform","$150,000","May 2021"
"Center for International Security and Cooperation — AI and Strategic Stability","Center for International Security and Cooperation","Potential Risks from Advanced AI","$365,361","July 2021"
"Charity Entrepreneurship — General Support","Charity Entrepreneurship","Global Health & Wellbeing","$1,616,474","March 2022"
"Carnegie Endowment for International Peace — AI Governance Research","Carnegie Endowment for International Peace","Potential Risks from Advanced AI","$597,717","March 2022"
"California Renters Legal Advocacy and Education Fund — General Support (2021)",CalHDF,"Land Use Reform","$400,000","December 2021"
"Food and Agriculture Research — Keel Bone Damage Reduction","Foundation for Food and Agriculture Research","Farm Animal Welfare","$3,000,000","December 2021"
"Duke University — COVID-19 Antiviral Studies (Timothy Haystead)","Duke University","Science Supporting Biosecurity and Pandemic Preparedness","$14,355","March 2021"
